"Data file recorded 2020/10/28  11:29:58"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.132,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.810,  0.000,  9.000, 15.000,-1000.000
  1.000,  0.234,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.790,  0.000, 10.000, 14.000,-999.000
  2.000,  0.335,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.790,  0.000,  8.000, 15.000,-999.000
  3.000,  0.437,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.800,  0.000,  9.000, 15.000,-1000.000
  4.000,  0.539,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-1000.000
  5.000,  0.643,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.860,  0.000,  9.000, 14.000,-999.000
  6.000,  0.743,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-998.000
  7.000,  0.845,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.830,  0.000,  8.000, 15.000,-1001.000
  8.000,  0.947,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.820,  0.000, 10.000, 15.000,-998.000
  9.000,  1.051,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.830,  0.000, 10.000, 14.000,-1000.000
 10.000,  1.153,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.810,  0.000,  8.000, 15.000,-996.000
 11.000,  1.253,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.810,  0.000,  9.000, 14.000,-1000.000
 12.000,  1.356,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.820,  0.000, 10.000, 15.000,-998.000
 13.000,  1.458,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 59.000, 10.000,  0.000,100.000, 19.820,  0.000, 10.000, 15.000,-1000.000
 14.000,  1.560,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.850,  0.000,  8.000, 15.000,-1000.000
 15.000,  1.610,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.850,  0.000, 10.000, 13.000,-998.000
