"Data file recorded 2020/11/3  0:32:33"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.026,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.310,  0.000,  0.000,  6.000,-1001.000
  1.000,  0.128,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.340,  0.000, -1.000,  6.000,-999.000
  2.000,  0.230,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.300,  0.000,  0.000,  7.000,-999.000
  3.000,  0.332,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.320,  0.000,  0.000,  7.000,-1000.000
  4.000,  0.383,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.300,  0.000,  0.000,  7.000,-1001.000
  5.000,  0.485,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.290,  0.000, -1.000,  6.000,-999.000
  6.000,  0.587,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.360,  0.000,  0.000,  6.000,-1000.000
  7.000,  0.689,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.290,  0.000,  0.000,  6.000,-1001.000
  8.000,  0.792,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.310,  0.000, -1.000,  6.000,-1003.000
  9.000,  0.894,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 75.000, 77.000, 10.000,  0.000, 33.000, 36.320,  0.000,  0.000,  7.000,-1002.000
