"Data file recorded 2020/11/3  0:35:23"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.077,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.680, 65.000, -1.000,  4.000,-999.000
  1.000,  0.182,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.780, 65.000,  0.000,  4.000,-999.000
  2.000,  0.281,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.750, 65.000, -1.000,  5.000,-999.000
  3.000,  0.383,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.690, 65.000, -1.000,  4.000,-998.000
  4.000,  0.485,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.750, 65.000,  0.000,  4.000,-1000.000
  5.000,  0.588,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.750, 65.000,  0.000,  5.000,-1000.000
  6.000,  0.689,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.780, 65.000,  0.000,  3.000,-1000.000
  7.000,  0.740,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 82.000, 85.000, 10.000,  0.000, 31.000, 35.750, 65.000, -1.000,  2.000,-997.000
  8.000,  0.894,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.810, 65.000, -1.000,  4.000,-1000.000
  9.000,  0.995,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.740, 65.000, -3.000,  3.000,-1000.000
 10.000,  1.097,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.710, 65.000, -2.000,  3.000,-1000.000
 11.000,  1.148,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.710, 65.000, -2.000,  2.000,-999.000
 12.000,  1.250,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.710, 65.000, -1.000,  3.000,-1001.000
 13.000,  1.357,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.750, 65.000, -2.000,  4.000,-1002.000
 14.000,  1.454,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.680, 65.000,  0.000,  2.000,-1000.000
 15.000,  1.556,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.700, 65.000, -1.000,  4.000,-998.000
 16.000,  1.658,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.690, 66.000,-15.000, -7.000,-995.000
 17.000,  1.760,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 84.000, 10.000,  0.000, 31.000, 35.690, 66.000,  3.000,  2.000,-1000.000
 18.000,  1.862,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000,  0.000,  0.000,  0.000, 83.000, 85.000, 10.000,  0.000, 31.000, 35.690, 66.000, -8.000, -1.000,-1003.000
 19.000,  1.965,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 83.000, 85.000, 10.000,  0.000, 31.000, 35.690, 66.000, -1.000, 16.000,-1003.000
 20.000,  2.067,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 83.000, 85.000, 10.000,  0.000, 31.000, 35.690, 66.000, -7.000,  1.000,-1002.000
 21.000,  2.182,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000,  0.000,  0.000,  0.000, 83.000, 85.000, 10.000,  0.000, 31.000, 35.690, 66.000,-11.000,-20.000,-1090.000
 22.000,  2.271,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000,  0.000, 83.000, 85.000, 10.000,  0.000, 31.000, 35.690, 66.000,  3.000, -1.000,-1125.000
 23.000,  2.372,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  1.000, 55.000,  0.000,  0.000, -2.000, 83.000, 85.000, 10.000,  0.000, 31.000, 35.690, 66.000, -4.000,-20.000,-1303.000
 24.000,  2.475,  0.000,  0.000,  0.000,  0.000,  0.000,  1.000,  0.000, 55.000,  0.000,  0.000, -5.000, 83.000, 85.000, 12.000,  0.000, 31.000, 35.840, 66.000, -5.000, 38.000,-1195.000
 25.000,  2.576,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 55.000,  0.000,  0.000, -6.000, 83.000, 85.000, 20.000,  0.000, 31.000, 36.050, 66.000,  9.000, 21.000,-1042.000
 26.000,  2.678,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -7.000, 83.000, 85.000, 28.000, 10.000, 31.000, 36.180, 67.000,  1.000,-26.000,-1007.000
 27.000,  2.780,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -7.000, 83.000, 85.000, 35.000, 10.000, 31.000, 36.200, 67.000,-28.000,  0.000,-1011.000
 28.000,  2.883,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -7.000, 82.000, 85.000, 44.000, 20.000, 31.000, 36.240, 67.000,-22.000,  7.000,-989.000
 29.000,  2.984,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -6.000, 82.000, 85.000, 52.000, 20.000, 31.000, 36.370, 67.000,  9.000,-16.000,-960.000
 30.000,  3.087,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -6.000, 82.000, 85.000, 59.000, 30.000, 31.000, 36.450, 67.000, 18.000,-34.000,-872.000
