"Data file recorded 2020/11/2  18:47:24"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.145,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 70.000, 10.000,  0.000,100.000, 39.480,  0.000,  0.000,  2.000,-999.000
  1.000,  0.245,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 70.000, 10.000,  0.000,100.000, 39.530,  0.000,  0.000,  3.000,-999.000
  2.000,  0.348,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.500,  0.000,  0.000,  1.000,-1002.000
  3.000,  0.449,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  0.000,  2.000,-998.000
  4.000,  0.551,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.520,  0.000,  0.000,  1.000,-1001.000
  5.000,  0.653,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.530,  0.000,  1.000,  1.000,-1000.000
  6.000,  0.755,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.490,  0.000,  0.000,  2.000,-999.000
  7.000,  0.858,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  0.000,  1.000,-1001.000
  8.000,  0.959,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.530,  0.000,  0.000,  2.000,-1000.000
  9.000,  1.061,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.490,  0.000,  1.000,  1.000,-999.000
 10.000,  1.163,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.490,  0.000,  0.000,  2.000,-1001.000
 11.000,  1.265,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  1.000,  2.000,-1001.000
 12.000,  1.368,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.440,  0.000,  0.000,  1.000,-1001.000
 13.000,  1.469,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.520,  0.000,  0.000,  0.000,-1003.000
 14.000,  1.571,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.460,  0.000,  0.000,  2.000,-1000.000
 15.000,  1.622,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.460,  0.000, -1.000,  2.000,-998.000
 16.000,  1.725,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.450,  0.000,  0.000,  1.000,-999.000
 17.000,  1.826,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.450,  0.000,  0.000,  2.000,-1001.000
 18.000,  1.928,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.460,  0.000,  0.000,  2.000,-1000.000
 19.000,  2.030,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.460,  0.000,  0.000,  1.000,-1001.000
 20.000,  2.132,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.460,  0.000,  0.000,  2.000,-1003.000
 21.000,  2.234,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 70.000, 10.000,  0.000,100.000, 39.410,  0.000,  0.000,  2.000,-1001.000
 22.000,  2.337,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.500,  0.000,  0.000,  2.000,-999.000
 23.000,  2.440,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.500,  0.000,  0.000,  1.000,-1002.000
 24.000,  2.549,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.540,  0.000,  0.000,  2.000,-1001.000
 25.000,  2.642,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.470,  0.000,  0.000,  2.000,-997.000
 26.000,  2.744,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.440,  0.000,  0.000,  2.000,-1001.000
 27.000,  2.846,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.520,  0.000,  0.000,  2.000,-1001.000
 28.000,  2.948,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.540,  0.000,  0.000,  2.000,-1001.000
 29.000,  3.051,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.460,  0.000,  0.000,  2.000,-999.000
 30.000,  3.152,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.460,  0.000,  1.000,  3.000,-998.000
 31.000,  3.254,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 69.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  0.000,  1.000,-1001.000
 32.000,  3.356,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  0.000,  1.000,-1002.000
 33.000,  3.458,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  1.000,  1.000,-997.000
 34.000,  3.560,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  9.000,  4.000,-1000.000
 35.000,  3.662,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  0.000,  1.000,-998.000
 36.000,  3.764,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000,  4.000,-19.000,-997.000
 37.000,  3.866,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000,  0.000, -1.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000, -5.000, 13.000,-997.000
 38.000,  3.968,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -5.000, 68.000, 71.000, 10.000,  0.000,100.000, 39.480,  0.000, -5.000,-48.000,-1072.000
 39.000,  4.070,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -7.000, 68.000, 71.000, 10.000, 10.000,100.000, 39.480,  0.000,-22.000, 11.000,-1204.000
 40.000,  4.172,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -8.000, 68.000, 71.000, 16.000, 20.000,100.000, 39.800,  0.000,  6.000, -6.000,-1340.000
 41.000,  4.274,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -8.000, 68.000, 71.000, 25.000, 20.000,100.000, 39.860,  0.000, 23.000,-21.000,-1118.000
 42.000,  4.376,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -8.000, 68.000, 71.000, 33.000, 30.000,100.000, 39.890,  1.000,  8.000,-33.000,-907.000
 43.000,  4.478,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -7.000, 68.000, 71.000, 40.000, 40.000,100.000, 40.070,  1.000, 50.000,-27.000,-869.000
 44.000,  4.580,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -5.000, 68.000, 71.000, 48.000, 50.000,100.000, 40.100,  1.000,-28.000,-21.000,-911.000
 45.000,  4.682,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -4.000, 68.000, 71.000, 54.000, 50.000,100.000, 40.140,  1.000, -4.000,  4.000,-906.000
 46.000,  4.784,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -3.000, 68.000, 71.000, 58.000, 60.000,100.000, 40.190,  1.000,-16.000,-12.000,-906.000
