"Data file recorded 2020/11/2  21:18:14"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.155,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.820,  0.000,  2.000,  5.000,-1001.000
  1.000,  0.258,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.800,  0.000,  2.000,  4.000,-1002.000
  2.000,  0.361,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.850,  0.000,  2.000,  4.000,-998.000
  3.000,  0.463,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000,  3.000,  3.000,-999.000
  4.000,  0.513,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.780,  0.000,  1.000,  4.000,-1001.000
  5.000,  0.614,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.830,  0.000,  3.000,  3.000,-1004.000
  6.000,  0.722,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.790,  0.000,  4.000,  5.000,-1000.000
  7.000,  0.818,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.840,  0.000,  3.000,  5.000,-999.000
  8.000,  0.920,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000,  3.000,  5.000,-999.000
  9.000,  1.022,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.780,  0.000,  4.000,  5.000,-999.000
 10.000,  1.125,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.870,  0.000,  3.000,  5.000,-997.000
 11.000,  1.226,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.860,  0.000,  3.000,  4.000,-998.000
 12.000,  1.330,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.840,  0.000,  2.000,  5.000,-998.000
 13.000,  1.430,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000,  3.000,  4.000,-1000.000
 14.000,  1.532,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.800,  0.000,  2.000,  5.000,-1000.000
 15.000,  1.634,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.840,  0.000,  3.000,  5.000,-1001.000
 16.000,  1.736,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.770,  0.000,  3.000,  4.000,-1000.000
 17.000,  1.838,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000,  4.000,  4.000,-997.000
 18.000,  1.940,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000, -5.000, 10.000,-999.000
 19.000,  2.042,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000, -4.000, -1.000,-998.000
 20.000,  2.144,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 79.000, 81.000, 10.000,  0.000, 79.000, 32.810,  0.000, -8.000, 12.000,-1003.000
