"Data file recorded 2020/11/3  0:40:3"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.032,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.130,130.000, -1.000,  3.000,-997.000
  1.000,  0.132,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.120,130.000, -3.000,  3.000,-1001.000
  2.000,  0.234,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.110,130.000, -2.000,  3.000,-999.000
  3.000,  0.337,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.160,130.000, -1.000,  3.000,-999.000
  4.000,  0.438,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.160,130.000, -1.000,  3.000,-998.000
  5.000,  0.540,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.170,130.000, -2.000,  2.000,-1000.000
  6.000,  0.642,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 90.000, 93.000, 10.000,  0.000, 16.000, 35.150,130.000, -2.000,  3.000,-1000.000
  7.000,  0.744,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.130,130.000, -2.000,  2.000,-998.000
  8.000,  0.846,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.150,130.000,  0.000,  1.000,-1000.000
  9.000,  0.948,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.200,130.000, -2.000,  2.000,-999.000
 10.000,  1.050,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.160,130.000, -2.000,  3.000,-1000.000
 11.000,  1.152,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.150,130.000, -1.000,  3.000,-1002.000
 12.000,  1.254,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.170,130.000, -2.000,  1.000,-1000.000
 13.000,  1.356,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.100,130.000, -2.000,  3.000,-1000.000
 14.000,  1.458,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.150,130.000, -3.000,  3.000,-998.000
 15.000,  1.564,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.140,130.000, -3.000,  3.000,-999.000
 16.000,  1.662,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 91.000, 94.000, 10.000,  0.000, 16.000, 35.120,130.000, -2.000,  3.000,-1002.000
 17.000,  1.764,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 31.000,  0.000,  0.000,  0.000, 92.000, 94.000, 10.000,  0.000, 16.000, 35.110,130.000, -2.000,  2.000,-1000.000
